City,Has_Airport
Karachi,1
Lahore,1
Faisalabad,1
Rawalpindi,1
Multan,1
Gujranwala,0
Peshawar,1
Quetta,1
Islamabad,1
Sialkot,1
Bahawalpur,1
Sargodha,0
Sukkur,1
Larkana,1
Sheikhupura,0
Jhang,0
Rahim Yar Khan,1
Gujrat,0
Kasur,0
Mardan,0
Mingaora,0
Okara,0
Nawabshah,1
Chiniot,0
Kotli,0
Khuzdar,0
Dera Ghazi Khan,1
Muzaffargarh,0
Sadiqabad,0
Mirpur Khas,0
Bannu,1
Turbat,1
Parachinar,1
Muridke,0
Chaman,0
Gwadar,1
Mandi Bahauddin,0
Attock,0
Bahawalnagar,0
Jhelum,0
Sahiwal,0
Khushab,0
Daska,0
Khanewal,0
Muzaffarabad,0
Abbotabad,0
Shikarpur,0
Kundian,0
Hafizabad,0
Kot Addu,0
Kohat,1
Jacobabad,1
Shahdadkot,0
Mansehra,0
Kamalia,0
Mianwali,1
Tando Allahyar,0
Vihari,0
Gojra,0
Tando Muhammad Khan,0
Khairpur,0
Dera Ismail Khan,1
Chishtian,0
Charsadda,0
Kāmra,0
Swabi,0
Nowshera,0
Jaranwala,0
Chakwal,0
Bhalwal,0
Haripur,0
Dadu,0
Pakpattan,0
Tando Jam,0
Layyah,0
Burewala,0
Dipalpur,0
Badin,0
Jamshoro,0
Kotri,0
Tando Adam,0
Hasilpur,0
Arifwala,0
Chichawatni,0
Samundri,0
Pasrur,0
Moro,0
Manawan,0
Sambrial,0
Raiwind,0
Kamoke,0
Kashmor,0
Ahmedpur East,0
Kot Mumin,0
